,season,round,name,url,conditions
309,2021,14,56. RallyRACC Catalunya - Costa Daurada 2021,/final/68118-rallyracc-catalunya-costa-daurada-2021/,['asphalt']
310,2021,15,FORUM8 Rally Japan 2021,/final/68119-forum8-rally-japan-2021/,['asphalt']
311,2021,16,FORUM8 ACI Rally Monza 2021,/final/72918-forum8-aci-rally-monza-2021/,['asphalt']
312,2022,1,90. Rallye Automobile Monte-Carlo 2022,/final/72281-rallye-automobile-monte-carlo-2022/,"['asphalt', 'snow']"
313,2022,2,69. Rally Sweden 2022,/final/72282-rally-sweden-2022/,"['snow', 'ice', 'cancelled']"
314,2022,3,Croatia Rally 2022,/final/73359-croatia-rally-2022/,"['asphalt', 'cancelled']"
315,2022,4,55. Vodafone Rally de Portugal 2022,/final/73360-vodafone-rally-de-portugal-2022/,['gravel']
316,2022,5,19. Rally Italia Sardegna 2022,/final/73361-rally-italia-sardegna-2022/,"['gravel', 'cancelled']"
317,2022,6,70. Safari Rally Kenya 2022,/final/73362-safari-rally-kenya-2022/,['gravel']
318,2022,7,12. Rally Estonia 2022,/final/73363-rally-estonia-2022/,['gravel']
319,2022,8,71. Secto Rally Finland 2022,/final/73364-secto-rally-finland-2022/,"['gravel', 'cancelled']"
320,2022,9,58. Ardeca Ypres Rally Belgium 2022,/final/73805-ardeca-ypres-rally-belgium-2022/,['asphalt']
321,2022,10,66. EKO Acropolis Rally Greece 2022,/final/73366-eko-acropolis-rally-greece-2022/,['gravel']
322,2022,11,Repco Rally New Zealand 2022,/final/73367-repco-rally-new-zealand-2022/,['gravel']
323,2022,12,57. RallyRACC Catalunya - Costa Daurada 2022,/final/73368-rallyracc-catalunya-costa-daurada-2022/,['asphalt']
324,2022,13,FORUM8 Rally Japan 2022,/final/73369-forum8-rally-japan-2022/,"['asphalt', 'cancelled']"
325,2023,1,91. Rallye Automobile Monte-Carlo 2023,/final/77787-rallye-automobile-monte-carlo-2023/,"['asphalt', 'snow']"
326,2023,2,70. Rally Sweden 2023,/final/79247-rally-sweden-2023/,"['snow', 'ice']"
327,2023,3,19. Rally Guanajuato México 2023,/final/80236-rally-guanajuato-mexico-2023/,['gravel']
328,2023,4,Croatia Rally 2023,/final/80237-croatia-rally-2023/,['asphalt']
329,2023,5,56. Vodafone Rally de Portugal 2023,/final/76758-vodafone-rally-de-portugal-2023/,['gravel']
330,2023,6,20. Rally Italia Sardegna 2023,/final/80238-rally-italia-sardegna-2023/,['gravel']
331,2023,7,71. Safari Rally Kenya 2023,/final/80239-safari-rally-kenya-2023/,['gravel']
332,2023,8,13. Rally Estonia 2023,/final/80240-rally-estonia-2023/,['gravel']
333,2023,9,72. Secto Rally Finland 2023,/final/80241-secto-rally-finland-2023/,['gravel']
334,2023,10,67. EKO Acropolis Rally Greece 2023,/final/80243-eko-acropolis-rally-greece-2023/,['gravel']
335,2023,11,Copec Rally Chile 2023,/final/80242-copec-rally-chile-2023/,['gravel']
336,2023,12,1. Central Europe Rally 2023,/final/80244-central-europe-rally-2023/,['asphalt']
337,2023,13,FORUM8 Rally Japan 2023,/final/80245-forum8-rally-japan-2023/,['asphalt']
