,leg,start_number,start_time,url,entry_number,driver,codriver,car
69,2,10,1. 6. 07:12,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239686/,10,Latvala Jari-Matti,Anttila Miikka,Toyota Yaris WRC
70,2,11,1. 6. 07:15,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239685/,8,Tänak Ott,Järveoja Martin,Toyota Yaris WRC
71,2,12,1. 6. 07:18,/entryinfo/54466-vodafone-rally-de-portugal-2019/2260714/,24,Kopecký Jan,Dresler Pavel,Škoda Fabia Rally2 evo
72,2,13,1. 6. 07:21,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280782/,23,Rovanperä Kalle,Halttunen Jonne,Škoda Fabia Rally2 evo
73,2,14,1. 6. 07:24,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274189/,22,Pieniążek Łukasz,Gerber Jakub,Ford Fiesta R5
74,2,15,1. 6. 07:27,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280784/,21,Østberg Mads,Eriksen Torstein,Citroën C3 R5
75,2,16,1. 6. 07:29,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280796/,43,Veiby Ole Christian,Andersson Jonas,Volkswagen Polo GTI R5
76,2,17,1. 6. 07:31,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280786/,45,Gryazin Nikolay,Fedorov Yaroslav,Škoda Fabia R5
77,2,18,1. 6. 07:33,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280800/,51,Loubet Pierre-Louis,Landais Vincent,Škoda Fabia R5
78,2,19,1. 6. 07:35,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281201/,56,Pietarinen Eerik,Raitanen Juhana,Škoda Fabia R5
79,2,20,1. 6. 07:37,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274077/,42,Katsuta Takamoto,Barritt Daniel,Ford Fiesta R5
80,2,21,1. 6. 07:39,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281194/,47,Bergkvist Emil,Barth Patrik,Ford Fiesta R5
81,2,22,1. 6. 07:41,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281197/,49,Solberg Henning,Minor Ilka,Škoda Fabia R5
82,2,23,1. 6. 07:43,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281204/,58,Huttunen Jari,Linnaketo Antti,Hyundai i20 R5
83,2,24,1. 6. 07:45,/entryinfo/54466-vodafone-rally-de-portugal-2019/2270368/,46,Heller Alberto,Díaz José Luis,Ford Fiesta R5
84,2,25,1. 6. 07:47,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280799/,64,Yates Rhys,Morgan James,Škoda Fabia R5
85,2,26,1. 6. 07:49,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280798/,41,Guerra jr. Benito,Zapata Ortega Jaime,Škoda Fabia R5
86,2,27,1. 6. 07:51,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274072/,55,Araújo Armindo,Ramalho Luís,Hyundai i20 R5
87,2,28,1. 6. 07:53,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281195/,48,de Mevius Guillaume,Wydaeghe Martijn,Citroën C3 R5
88,2,29,1. 6. 07:55,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274126/,52,Teodósio Ricardo,Teixeira José,Škoda Fabia R5
89,2,30,1. 6. 07:57,/entryinfo/54466-vodafone-rally-de-portugal-2019/2255841/,59,Magalhães Bruno,Magalhães Hugo,Hyundai i20 R5
90,2,31,1. 6. 07:59,/entryinfo/54466-vodafone-rally-de-portugal-2019/2275443/,53,Tempestini Simone,Itu Sergiu,Hyundai i20 R5
91,2,32,1. 6. 08:01,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281209/,73,Dinkel Dominik,Fürst Christina,Hyundai i20 R5
92,2,33,1. 6. 08:03,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281205/,63,Salvi Diogo,Babo Paulo,Škoda Fabia R5
93,2,34,1. 6. 08:05,/entryinfo/54466-vodafone-rally-de-portugal-2019/2262872/,57,Fontes José Pedro,Magalhães Carlos,Citroën C3 R5
94,2,35,1. 6. 08:07,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274115/,62,Dias António,Rodrigues da Silva Nuno,Škoda Fabia R5
95,2,36,1. 6. 08:09,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274108/,61,Almeida Pedro,Almeida Nuno,Škoda Fabia R5
96,2,37,1. 6. 08:11,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281208/,72,Burger Kees,Teiskonen Miika,Škoda Fabia R5
97,2,38,1. 6. 08:13,/entryinfo/54466-vodafone-rally-de-portugal-2019/2262880/,50,"""Pedro""",Baldaccini Emanuele,Ford Fiesta R5
98,2,39,1. 6. 08:15,/entryinfo/54466-vodafone-rally-de-portugal-2019/2262879/,79,Oldrati Enrico,Scattolin Simone,Ford Fiesta R2T19
99,2,40,1. 6. 08:17,/entryinfo/54466-vodafone-rally-de-portugal-2019/2279875/,76,Teixeira Francisco,Serôdio João,Škoda Fabia R5
100,2,41,1. 6. 08:19,/entryinfo/54466-vodafone-rally-de-portugal-2019/2277016/,77,Miranda Hélder,Teixeira Rui,Renault Clio RS R3T
101,2,42,1. 6. 08:21,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274062/,75,Ramos João Fernando,Janela José,Ford Fiesta R5
